City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
63,Flinders,AU,62.19,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
65,Hermanus,ZA,56.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
66,New Norfolk,AU,53.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
67,Port Elizabeth,ZA,64.31,clear sky,-33.918,25.5701,39 On Nile Guest House
68,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
69,Dingle,PH,77.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
70,Kalakamati,BW,71.22,clear sky,-20.5929,27.3121,
71,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
72,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
77,Ancud,CL,56.59,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
81,Aracataca,CO,78.66,light rain,10.5918,-74.1898,Hostal de los buendia
82,Karratha,AU,71.98,clear sky,-20.7377,116.8463,ibis Styles Karratha
85,Cape Town,ZA,62.28,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
90,Eyl,SO,77.18,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
91,Waddan,LY,63.01,clear sky,29.1614,16.139,محل الشريف محمد العايب
92,Kattivakkam,IN,75.29,scattered clouds,13.2167,80.3167,Euronova Freezer
94,Paranaiba,BR,78.35,clear sky,-19.6772,-51.1908,Villa Rica Park Hotel GMR
96,Izmit,TR,40.98,few clouds,40.7669,29.9169,Seka Park Hotel
98,Lebu,CL,60.13,clear sky,-37.6167,-73.65,Hostal Las Lilas
100,Manga,BF,74.61,few clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
102,Chuy,UY,66.09,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
103,Granville,AU,65.01,few clouds,-33.8333,151.0167,Mercure Sydney Parramatta
105,Vila Franca Do Campo,PT,65.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
108,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
109,Espanola,US,43.14,few clouds,35.9911,-106.0806,Santa Claran Hotel Casino
110,Naze,JP,68.92,light rain,28.3667,129.4833,Shishime Hotel
111,Ballina,AU,66.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
113,Saint-Pierre,RE,69.91,clear sky,-21.3393,55.4781,Alize Plage
115,Saint George,US,54.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
117,Sarakhs,IR,50.77,broken clouds,36.5449,61.1577,مهمان سرای شرکت گاز
119,Huarmey,PE,65.97,overcast clouds,-10.0681,-78.1522,Hotel Miramar
121,Russell,US,51.4,few clouds,32.3502,-85.1999,Macs
127,Awash,ET,68.47,clear sky,8.9833,40.1667,Kediga hotel
128,Bambous Virieux,MU,69.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
129,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
132,Castro,BR,62.26,clear sky,-24.7911,-50.0119,CHACARA BAILLY
133,Ribeira Grande,PT,64.78,broken clouds,38.5167,-28.7,Quinta da Meia Eira
136,Bredasdorp,ZA,57.76,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
137,Bengkulu,ID,73.33,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
139,Irbil,IQ,53.42,thunderstorm with light rain,36.1926,44.0106,Erbil International Hotel
140,Port Hawkesbury,CA,45.18,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
141,Broken Hill,AU,57.87,clear sky,-31.95,141.4333,Royal Exchange Hotel
142,Ramos Arizpe,MX,73.81,haze,25.55,-100.9667,Mario's Inn
143,Hualmay,PE,65.66,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
144,Pozo Colorado,PY,73.98,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
145,Thabazimbi,ZA,74.5,clear sky,-24.5917,27.4116,Eagle's Rest
148,Sekondi,GH,77.45,light rain,4.937,-1.7128,Mapees Guest House
