City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Cherskiy,RU,68.75,161.3,0.39,95,100,6.55,overcast clouds
119,Huarmey,PE,-10.0681,-78.1522,65.97,82,100,9.98,overcast clouds
120,Orlik,RU,52.5178,99.825,3.04,95,63,2.21,broken clouds
121,Russell,US,32.3502,-85.1999,51.4,50,20,10.36,few clouds
122,Saskylakh,RU,71.9167,114.0833,-28.03,99,99,5.17,overcast clouds
123,Narsaq,GL,60.9167,-46.05,25.02,90,69,6.13,broken clouds
124,Erenhot,CN,43.6475,111.9767,28.92,49,0,9.15,clear sky
125,Charters Towers,AU,-20.1,146.2667,83.53,20,58,15.9,broken clouds
126,Khatanga,RU,71.9667,102.5,-20.0,99,98,4.83,overcast clouds
127,Awash,ET,8.9833,40.1667,68.47,32,0,1.72,clear sky
128,Bambous Virieux,MU,-20.3428,57.7575,69.22,83,40,3.44,scattered clouds
129,Avarua,CK,-21.2078,-159.775,78.85,65,37,14.97,scattered clouds
130,Opuwo,NA,-18.0607,13.84,77.59,32,90,2.46,overcast clouds
131,Stokmarknes,NO,68.5646,14.9108,37.36,55,28,3.44,scattered clouds
132,Castro,BR,-24.7911,-50.0119,62.26,64,1,4.03,clear sky
133,Ribeira Grande,PT,38.5167,-28.7,64.78,70,63,3.0,broken clouds
134,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,few clouds
135,Sabang,ID,5.8933,95.3214,81.0,76,100,21.43,overcast clouds
136,Bredasdorp,ZA,-34.5322,20.0403,57.76,65,100,3.87,overcast clouds
137,Bengkulu,ID,-3.8004,102.2655,73.33,97,100,12.97,light rain
138,Anadyr,RU,64.75,177.4833,34.3,86,0,8.95,clear sky
139,Irbil,IQ,36.1926,44.0106,53.42,87,40,0.0,thunderstorm with light rain
140,Port Hawkesbury,CA,45.6169,-61.3485,45.18,92,100,13.0,overcast clouds
141,Broken Hill,AU,-31.95,141.4333,57.87,42,0,9.62,clear sky
142,Ramos Arizpe,MX,25.55,-100.9667,73.81,81,100,9.22,haze
143,Hualmay,PE,-11.0964,-77.6139,65.66,81,91,10.09,overcast clouds
144,Pozo Colorado,PY,-23.4923,-58.7972,73.98,54,0,6.31,clear sky
145,Thabazimbi,ZA,-24.5917,27.4116,74.5,41,0,2.91,clear sky
146,Tilichiki,RU,60.4667,166.1,9.79,94,37,3.13,scattered clouds
147,Kavaratti,IN,10.5669,72.642,81.01,72,11,1.81,few clouds
148,Sekondi,GH,4.937,-1.7128,77.45,86,10,6.6,light rain
149,Burnie,AU,-41.0667,145.9167,51.94,54,9,2.35,clear sky
150,Nangomba,TZ,-10.9,38.5,73.87,77,12,4.94,few clouds
151,Matveyevka,RU,52.15,56.1833,22.82,96,100,5.06,light snow
152,Ilulissat,GL,69.2167,-51.1,15.82,73,75,6.91,broken clouds
153,Mahebourg,MU,-20.4081,57.7,69.26,83,40,3.44,scattered clouds
154,Lardos,GR,36.0942,28.0157,62.42,73,8,8.52,clear sky
155,Sol-Iletsk,RU,51.1631,54.9918,26.98,91,100,8.14,overcast clouds
156,Dandong,CN,40.1292,124.3947,37.54,67,0,3.31,clear sky
157,Nikolayevsk-Na-Amure,RU,53.1406,140.73,10.54,95,54,2.62,broken clouds
158,Mizdah,LY,31.4451,12.9801,57.6,34,0,8.19,clear sky
159,Bonfim,BR,3.0833,-59.95,84.92,59,100,7.02,overcast clouds
160,Buraydah,SA,26.326,43.975,68.45,49,97,6.29,overcast clouds
161,San Cristobal,VE,7.7669,-72.225,73.58,91,73,2.01,broken clouds
162,Abu Samrah,SY,35.3029,37.1841,56.68,73,23,2.51,few clouds
163,Chyhyryn,UA,49.0838,32.6555,42.4,93,100,7.25,overcast clouds
164,Sumbe,AO,-11.2061,13.8437,75.49,74,100,5.41,overcast clouds
165,Alpharetta,US,34.0754,-84.2941,46.31,68,100,1.01,overcast clouds
166,Alghero,IT,40.5589,8.3181,57.29,100,0,1.14,clear sky
167,Middelburg,ZA,-25.7751,29.4648,66.78,54,9,6.98,clear sky
168,Poum,NC,-20.2333,164.0167,79.38,76,96,5.46,overcast clouds
169,Muravlenko,RU,63.7898,74.523,-11.02,88,73,9.15,broken clouds
170,Port Alfred,ZA,-33.5906,26.891,62.19,94,65,1.01,broken clouds
171,Yeppoon,AU,-23.1333,150.7333,76.78,33,96,8.59,overcast clouds
172,Kudahuvadhoo,MV,2.6708,72.8944,81.16,75,100,12.33,overcast clouds
173,Huicungo,PE,-7.2833,-76.8,70.16,99,100,1.07,overcast clouds
174,Tasiilaq,GL,65.6145,-37.6368,32.16,86,100,21.25,overcast clouds
175,Bikin,RU,46.8161,134.26,22.75,94,82,3.18,broken clouds
176,Williston,US,48.147,-103.618,30.31,80,100,5.99,overcast clouds
177,Jumla,NP,29.2747,82.1838,37.22,65,8,4.12,clear sky
178,Kaitangata,NZ,-46.2817,169.8464,55.45,93,100,3.85,overcast clouds
179,Saravan,AM,39.7196,45.6483,35.85,67,65,2.51,broken clouds
180,Aswan,EG,24.0934,32.907,61.9,39,0,9.22,clear sky
181,Ukiah,US,39.1502,-123.2078,73.65,33,0,0.0,clear sky
182,Peniche,PT,39.3558,-9.3811,66.11,93,100,18.7,overcast clouds
183,Upernavik,GL,72.7868,-56.1549,11.61,90,98,11.52,overcast clouds
184,Port Hedland,AU,-20.3167,118.5667,69.85,83,75,8.05,broken clouds
185,Imphal,IN,24.8167,93.95,50.36,84,0,2.93,clear sky
186,Ponte San Pietro,IT,45.6963,9.5849,51.04,93,100,3.44,overcast clouds
187,Oyem,GA,1.5995,11.5793,67.46,97,100,2.82,overcast clouds
188,Chifeng,CN,42.2683,118.9636,26.98,82,4,4.74,clear sky
189,Kursenai,LT,55.985,22.9189,30.45,83,59,6.24,broken clouds
190,Terre Haute,US,39.4667,-87.4139,31.96,69,99,1.01,overcast clouds
191,Bahia Blanca,AR,-38.7196,-62.2724,69.3,56,13,1.99,few clouds
192,Norman Wells,CA,65.282,-126.8329,6.84,85,75,2.3,broken clouds
193,Penzance,GB,50.1186,-5.5371,50.68,69,88,24.56,overcast clouds
194,Severo-Kurilsk,RU,50.6789,156.125,33.04,69,64,5.84,broken clouds
195,Leningradskiy,RU,69.3833,178.4167,6.03,92,100,5.59,overcast clouds
196,Nokaneng,BW,-19.6667,22.2667,77.74,34,2,7.85,clear sky
197,Imbituba,BR,-28.24,-48.6703,66.22,69,0,4.09,clear sky
198,Aksarka,RU,66.5606,67.7975,3.04,91,80,8.39,broken clouds
199,Labuan,MY,5.2767,115.2417,79.16,94,20,1.14,few clouds
200,Esperance,AU,-33.8667,121.9,62.83,66,85,20.89,overcast clouds
201,Bergen,NO,60.392,5.328,46.81,36,0,12.66,clear sky
